timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,773,-491,1950,-256,151,-361
10,817,-433,1742,-361,348,-365
20,889,-341,1776,-694,342,-423
30,839,-239,1806,-730,414,-294
40,781,-199,1797,-560,477,-286
50,867,-244,1875,-469,308,-91
60,873,-354,1709,-735,323,942
70,877,-366,1920,-1017,398,262
80,723,-338,1963,-1272,208,160
90,741,-483,1915,-1183,132,165
100,802,-561,1888,-982,113,124
110,795,-627,1746,-631,120,57
120,832,-578,1644,-483,150,-19
130,834,-485,1744,-263,117,46
140,738,-639,1641,-332,115,-26
150,695,-633,1746,-266,257,-124
160,690,-564,1646,-274,456,-225
170,600,-563,1639,-440,618,-155
180,661,-474,1777,-656,550,84
190,593,-535,1582,-986,627,143
200,716,-425,1397,-1365,721,316
210,518,-110,1428,-1536,666,698
220,449,41,1219,-1660,961,1341
230,329,158,1549,-1558,1120,1893
240,223,2,1536,-1523,1043,2408
250,-43,121,1623,-1338,1443,2927
260,-182,-45,2305,-1252,1310,3492
270,-412,-147,2157,-1272,1069,4066
280,-593,-341,2381,-1555,898,4577
290,-608,-866,3023,-1290,170,4689
300,-766,-1020,2956,-1089,-382,4733
310,-992,-824,2548,-1639,-1294,5207
320,-966,-549,2220,-1971,-1435,5817
330,-919,-806,1627,-1933,-2063,6230
340,-889,-1480,1576,-1649,-2145,6372
350,-844,-2217,2457,-745,-2266,5900
360,-619,-3177,2844,-158,-3108,5153
370,-528,-3734,2947,408,-3634,3974
380,-516,-3584,2488,895,-4025,2824
390,-204,-3307,2085,1335,-4351,1025
400,-447,-3193,1469,1135,-5131,1169
410,-385,-3104,898,802,-4728,165
420,-378,-2931,1121,414,-4696,-784
430,-446,-2790,1188,106,-4767,-940
440,-405,-2321,1278,-136,-4494,-2271
450,-327,-2970,569,-132,-3805,-2880
460,-224,-2208,961,-13,-3386,-3697
470,-349,-1557,221,-121,-2489,-4023
480,-217,-1130,174,215,-1133,-4046
490,-73,-1084,361,213,-392,-3862
500,26,-1136,169,249,24,-3873
510,-84,-1273,-348,61,1407,-4191
520,-112,-1010,72,333,2828,-4526
530,-236,-1433,-267,-338,2919,-4650
540,-710,-1344,-915,-813,4850,-5311
550,-1262,-1021,-875,-1855,6532,-5367
560,-1832,80,-841,-2696,9678,-5567
570,-1359,1639,2666,-2430,9088,-3454
580,-1214,396,2685,-2658,7107,-2846
590,-810,-151,4561,-1270,6616,-1975
600,-531,-72,4677,-694,3686,-1314
610,-678,71,3087,-498,2525,-897
620,-719,318,2611,-428,2636,-486
630,-612,555,3271,-512,2351,425
640,-600,86,3841,-88,1133,1182
650,-581,-633,3573,467,309,939
660,-282,-1134,2568,267,434,477
670,-285,-768,2701,548,566,264
680,-123,-859,3257,517,-245,339
690,-216,-1071,2683,107,-1241,389
700,-360,-940,2003,53,-1013,109
710,-339,-989,1413,-9,-444,25
720,-290,-954,1627,127,94,-192
730,-268,-970,1884,131,181,-169
740,-302,-973,2087,214,-50,-306
750,-258,-715,2198,325,-242,-416
760,-287,-432,2144,193,-624,-65
770,-223,-699,1629,72,-808,113
780,-255,-811,1408,160,-64,-174
790,-220,-640,1948,207,244,-213
800,-261,-591,2099,52,-134,-134
810,-257,-656,2080,27,-209,-36
820,-242,-669,1894,28,-169,-84
830,-239,-647,2034,85,-82,-24
840,-215,-665,2012,128,-207,7
850,-172,-750,1770,-7,-88,-97
860,-159,-749,1835,-15,18,-197
870,-202,-630,1983,27,-42,-78
880,-207,-661,1936,30,-175,-86
890,-188,-671,1898,78,-118,8
900,-221,-651,1927,101,-87,82
910,-193,-679,1983,91,-133,83
920,-173,-676,1995,76,-174,181
930,-172,-793,1823,-2,-168,75
940,-161,-767,1878,64,123,-27
950,-171,-732,2045,72,26,-22
960,-177,-627,1929,13,-46,53
970,-164,-666,1935,33,7,32
980,-179,-644,1929,69,-93,37
990,-143,-648,1820,-7,53,46
