timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,301,-438,1979,51,-5,-68
10,296,-412,1998,24,29,-27
20,305,-389,1956,-20,17,-7
30,298,-412,2010,-23,51,19
40,308,-397,2024,-55,43,-33
50,304,-420,2001,82,24,-10
60,263,-410,2026,-50,-18,16
70,351,-354,2003,-8,9,-64
80,281,-353,2054,0,17,-29
90,248,-376,2021,16,30,-80
100,296,-345,1997,28,11,-56
110,260,-333,1993,28,61,-36
120,278,-351,2006,15,35,24
130,295,-398,2009,-29,41,-20
140,307,-421,2007,-15,-7,17
150,307,-420,2015,1,-45,-17
160,327,-392,1963,17,24,9
170,310,-450,1895,-26,24,-5
180,300,-416,2055,-16,-45,-69
190,288,-387,2029,-12,47,-12
200,286,-412,2012,-19,55,-48
210,297,-393,1998,3,81,-18
220,297,-396,2023,-27,-26,-6
230,320,-412,2070,28,23,1
240,314,-385,2012,40,-29,-17
250,302,-400,1995,-8,-47,33
260,289,-380,1993,30,9,26
270,303,-394,1966,17,5,45
280,287,-363,1945,16,32,7
290,299,-411,2035,42,14,-35
300,291,-360,1921,45,24,-52
310,315,-360,2004,28,38,-36
320,286,-373,2013,69,8,-40
330,288,-396,1951,16,66,15
340,290,-378,2061,28,42,3
350,325,-420,2045,53,-15,6
360,303,-409,1966,58,21,43
370,317,-412,1990,14,11,14
380,303,-421,1983,-22,0,44
390,312,-399,1942,11,15,62
400,318,-431,1916,25,16,22
410,290,-374,1893,16,59,42
420,333,-376,1983,65,45,-15
430,291,-347,1979,122,52,25
440,280,-374,1991,65,84,5
450,288,-413,2038,40,44,-15
460,299,-397,2033,29,18,23
470,286,-378,2050,-8,22,-23
480,299,-380,2036,8,14,46
490,298,-396,2012,34,27,19
500,308,-418,2007,75,133,73
510,318,-420,2111,78,13,65
520,291,-376,2025,85,68,33
530,321,-407,2015,20,39,-39
540,297,-404,2040,-6,19,18
550,294,-395,2036,-21,-53,-20
560,301,-405,2017,18,47,39
570,303,-421,1999,-23,12,-25
580,318,-405,2026,11,31,37
590,321,-429,2042,20,-54,-10
600,305,-418,1988,10,-37,-44
610,306,-345,1974,5,-22,-29
620,319,-401,1946,-5,-28,0
630,297,-360,1954,-8,23,27
640,264,-388,1937,9,14,51
650,261,-376,1943,-9,-5,3
660,303,-420,1947,-30,47,-19
670,278,-374,1884,4,36,-12
680,280,-375,1772,-13,85,-28
690,279,-252,1815,-28,151,66
700,257,-257,1807,-37,154,18
710,229,-209,1755,-38,264,111
720,218,-226,1720,-146,311,169
730,215,-232,1724,-134,307,203
740,164,-208,1667,-342,385,253
750,152,-17,1606,-377,488,375
760,101,113,1657,-665,478,671
770,30,181,1537,-1208,382,985
780,-38,307,1697,-1623,528,1487
790,-20,171,1791,-1902,699,1980
800,-204,121,1862,-2231,747,2394
810,-239,-458,2430,-2166,1074,2341
820,-115,-1229,3013,-1941,589,2040
830,51,-1696,3616,-2071,-211,2025
840,28,-1732,3207,-1987,-1001,1468
850,-80,-1236,2747,-1341,-867,1585
860,-75,-1058,2234,-1451,-711,1475
870,5,-1189,2270,-1330,-769,1454
880,18,-1242,2269,-1290,-1102,1837
890,31,-1591,2533,-665,-1617,2332
900,176,-2055,2311,-512,-1474,2450
910,124,-1991,2074,-301,-2220,718
920,94,-1542,1733,117,-1924,503
930,47,-1596,1245,-8,-2145,520
940,162,-1571,1516,42,-1907,605
950,214,-1609,1338,583,-1695,3
960,343,-1723,1591,894,-1632,-472
970,298,-1856,1626,1268,-1927,-485
980,253,-1858,1224,1937,-1812,-967
990,193,-1596,892,2054,-1619,-1287
