timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-69,-1725,2254,-117,-1190,-402
10,-20,-1768,2208,-13,-1384,-747
20,8,-1673,1921,76,-1713,-1071
30,13,-1541,1586,189,-1591,-1294
40,60,-1398,1484,219,-1415,-1437
50,49,-1253,1352,273,-1084,-1601
60,61,-1195,1316,301,-694,-1745
70,88,-1135,1365,331,-388,-1909
80,72,-876,1391,469,-205,-1976
90,59,-731,1213,573,13,-1944
100,59,-674,922,750,493,-1873
110,134,-871,680,852,1165,-1835
120,93,-727,628,504,1804,-2052
130,-37,-459,923,170,2359,-2097
140,-133,-196,1246,-226,2583,-1890
150,-272,-145,1310,-925,2708,-1615
160,-462,291,1561,-1227,2816,-1201
170,-606,481,1705,-1149,2825,-519
180,-857,660,1842,-919,2976,311
190,-804,293,1978,-682,3302,952
200,-901,118,1641,-1066,3690,1508
210,-735,-250,2661,-1815,3697,2004
220,-792,-381,2498,-2219,3107,2228
230,-842,-878,2565,-2081,2670,1902
240,-764,-984,2771,-1891,1994,1857
250,-906,-977,2687,-1888,1136,1669
260,-937,-996,2157,-1762,730,1729
270,-925,-1320,2028,-1211,512,1639
280,-889,-1713,2129,-711,350,1462
290,-873,-2230,2169,-332,207,987
300,-838,-2515,2484,-8,-37,325
310,-831,-2554,2467,430,-778,-293
320,-868,-2382,2271,804,-1156,-975
330,-889,-2142,2095,1143,-1434,-1417
340,-886,-1886,1982,1434,-1593,-1751
350,-855,-1777,2233,1667,-1711,-2009
360,-776,-1700,2289,1812,-1977,-2098
370,-772,-1623,2204,1935,-2154,-2367
380,-743,-1477,2350,2078,-2422,-2546
390,-732,-1215,2182,2243,-2603,-2472
400,-641,-1059,2184,2466,-2850,-2452
410,-588,-895,1820,2370,-3028,-2373
420,-432,-880,1404,2453,-2555,-2345
430,-190,-874,1076,2266,-2568,-2309
440,-57,-833,790,2162,-1794,-2495
450,77,-647,863,2161,-1234,-2326
460,162,-248,1211,1977,-1060,-2357
470,163,34,819,1766,-954,-2038
480,255,173,861,1627,-35,-1729
490,143,362,1605,1684,327,-1427
500,39,449,1399,1536,81,-1126
510,43,632,1389,1372,460,-830
520,54,798,1664,1209,463,-455
530,13,707,1696,859,577,-17
540,63,331,2156,801,481,25
550,66,239,2192,572,311,-17
560,103,303,2198,402,149,-90
570,113,297,2101,254,116,-40
580,159,193,1992,78,70,-43
590,205,125,2055,-87,180,-118
600,167,149,2117,-132,223,-125
610,212,95,2213,-3,155,-77
620,246,135,2235,67,83,-88
630,212,132,2138,67,-7,-15
640,276,97,2122,100,-13,-17
650,224,92,2028,23,-57,30
660,259,30,2065,4,66,-42
670,325,-12,2129,-40,-59,-50
680,288,99,2042,-60,-102,-60
690,250,125,1801,-102,30,25
700,294,135,2137,-32,56,-5
710,288,119,2005,68,-40,73
720,259,29,2051,103,146,140
730,281,-8,2182,87,67,60
740,240,-44,2002,13,-6,44
750,234,-36,2185,4,93,-15
760,208,109,2200,33,-121,-16
770,218,59,1996,40,-70,24
780,228,71,2075,17,15,21
790,208,140,2151,45,-100,76
800,213,60,1972,46,-28,116
810,298,14,2107,58,-52,48
820,287,121,2016,30,-107,70
830,265,10,1883,-17,-8,106
840,285,-59,2101,-32,75,-20
850,267,103,2107,-36,-42,25
860,214,60,1953,-54,4,45
870,242,-22,2082,-28,177,-40
880,271,134,2204,-7,-81,39
890,224,191,2039,-69,-44,17
900,262,136,2114,53,-87,75
910,271,123,2049,-86,-147,82
920,243,178,1979,-49,-183,112
930,279,17,1907,-54,-24,140
940,275,26,2027,-97,36,43
950,281,-11,2035,-41,-33,112
960,306,-72,2084,-35,41,86
970,276,-23,2096,-59,-58,71
980,319,-108,2123,11,-41,-43
990,318,-104,2083,-10,-116,-30
