timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-490,-2046,-226,714,170,-201
10,-483,-2024,-208,824,275,-202
20,-469,-1785,-211,954,160,4
30,-2132,-2018,-610,282,120,848
40,-593,-1883,-32,1386,-168,-368
50,-494,-2046,-15,1108,222,-342
60,-463,-2085,-32,1146,137,-362
70,-257,-1352,-239,535,125,302
80,-467,-1920,-96,1111,118,-374
90,-390,-1986,86,1184,137,-219
100,-673,-2420,536,1211,80,-90
110,-506,-1938,-135,831,185,-48
120,-434,-2106,32,823,1,-238
130,-396,-2048,94,592,115,-99
140,-445,-2036,104,462,147,-51
150,-452,-1987,106,506,187,-34
160,-403,-1913,179,429,86,-14
170,-457,-1884,121,411,32,313
180,-337,-2147,223,230,112,110
190,-468,-2084,28,63,-29,204
200,-467,-2098,91,-27,-26,122
210,-456,-2059,125,-93,-30,170
220,-466,-2068,152,4,-39,51
230,-523,-2000,140,-2,-5,12
240,-494,-2015,112,-33,75,6
250,-480,-1999,134,-111,121,24
260,-467,-2037,155,-149,123,72
270,-492,-2037,154,-126,87,35
280,-482,-2069,142,-168,117,56
290,-457,-2036,126,-178,76,38
300,-460,-2013,132,-194,106,24
310,-443,-2040,144,-174,129,-19
320,-490,-2024,133,-153,75,-53
330,-516,-1954,78,-41,79,37
340,-506,-2038,115,-28,185,19
350,-503,-2042,127,-21,107,12
360,-499,-2017,82,-27,94,2
370,-453,-1977,79,4,96,16
380,-456,-1929,85,32,110,31
390,-456,-1978,93,8,90,-23
400,-440,-2017,142,74,77,40
410,-499,-2062,108,55,21,-9
420,-487,-2067,117,94,54,-13
430,-523,-2067,130,124,68,-15
440,-483,-2040,104,127,64,-60
450,-507,-2027,127,133,111,-86
460,-496,-2049,67,65,-48,-99
470,-470,-1941,93,18,-16,-86
480,-474,-2015,88,-124,-17,42
490,-469,-2033,142,-61,-49,-24
500,-465,-2015,110,-24,-30,-6
510,-520,-2041,58,-91,-54,45
520,-498,-2062,108,-39,-27,52
530,-479,-2054,139,-26,11,-34
540,-495,-2046,121,-67,73,-25
550,-431,-1994,127,-53,12,61
560,-453,-2028,116,-21,-4,51
570,-456,-1959,89,39,39,-24
580,-473,-1974,104,18,21,71
590,-489,-2058,83,3,22,48
600,-454,-2059,119,21,61,42
610,-516,-2085,114,57,96,19
620,-496,-2051,141,49,33,-33
630,-497,-2028,95,37,49,-27
640,-474,-1980,83,12,75,-63
650,-473,-1932,85,25,70,67
660,-450,-2011,144,26,25,-20
670,-467,-2034,135,82,0,52
680,-496,-2057,91,61,-52,13
690,-498,-2018,89,82,45,-8
700,-499,-2026,88,109,6,-30
710,-535,-1991,74,83,37,-42
720,-537,-2034,107,109,63,3
730,-493,-2046,154,131,46,-70
740,-476,-2025,132,194,90,-22
750,-471,-2005,153,161,19,-59
760,-473,-2005,165,238,51,-35
770,-462,-2020,160,258,10,-12
780,-455,-1992,164,283,19,12
790,-474,-2018,144,297,64,48
800,-487,-2047,214,303,101,44
810,-493,-2021,117,163,48,125
820,-476,-2046,159,142,32,97
830,-545,-1904,156,162,13,160
840,-467,-1964,274,128,9,218
850,-487,-1969,97,155,-22,224
860,-451,-1986,141,25,-97,150
870,1,-1910,259,-39,-362,136
880,-573,-2055,-94,-70,30,120
890,-493,-2025,86,-54,-3,151
900,-484,-2009,170,-58,53,150
910,-526,-2009,210,-3,-11,120
920,-496,-1980,195,19,55,91
930,-520,-2045,167,16,127,79
940,-532,-2020,202,16,29,31
950,-526,-2028,216,-15,49,-1
960,-526,-2019,174,-16,51,-79
970,-500,-2026,180,36,96,-71
980,-487,-2000,189,66,87,-84
990,-529,-1995,200,79,103,-30
