timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-1839,818,286,-49,55,-39
10,-1840,903,235,-12,49,7
20,-1864,849,234,76,43,4
30,-1818,844,222,122,80,4
40,-1847,847,228,78,30,33
50,-1828,861,227,-26,-11,63
60,-1834,851,240,-38,25,38
70,-1817,995,315,107,-45,185
80,-1754,811,235,90,9,105
90,-1880,971,202,40,39,21
100,-1826,868,221,20,77,78
110,-1861,868,256,38,37,69
120,-1866,903,227,63,5,-19
130,-1849,855,221,-63,-16,-57
140,-1852,857,207,-50,-20,-46
150,-1848,882,238,-77,7,-64
160,-1845,822,274,-11,-36,-32
170,-1858,835,229,91,41,-16
180,-1838,844,224,108,32,45
190,-1854,866,219,71,46,76
200,-1833,841,231,36,19,84
210,-1861,854,215,-28,34,5
220,-1833,859,215,-41,1,-37
230,-1841,870,263,-74,17,-22
240,-1859,878,238,-34,43,1
250,-1846,835,253,0,36,29
260,-1842,870,234,107,46,-57
270,-1844,861,249,110,0,-40
280,-1873,875,227,80,62,19
290,-1820,837,195,-9,19,-12
300,-1846,872,230,-7,46,-2
310,-1872,876,225,-20,29,-13
320,-1830,867,236,-27,-4,-7
330,-1842,877,242,-42,31,33
340,-1858,855,227,-1,25,10
350,-1863,846,251,36,-6,-17
360,-1863,823,235,35,33,41
370,-1854,863,229,77,44,29
380,-1853,862,217,36,30,0
390,-1851,878,238,-15,-11,28
400,-1856,858,221,3,49,9
410,-1830,870,245,32,42,28
420,-1826,869,224,12,5,6
430,-1858,856,227,0,17,43
440,-1846,832,224,38,21,2
450,-1848,849,228,59,31,30
460,-1838,847,259,44,18,-39
470,-1877,853,237,45,13,21
480,-1882,849,229,28,52,35
490,-1865,861,216,8,0,18
500,-1853,864,212,16,15,-53
510,-1846,829,227,-5,28,-28
520,-1842,846,233,-35,26,-28
530,-1851,850,222,-28,52,-72
540,-1845,866,226,-30,21,31
550,-1844,840,268,66,-21,14
560,-1847,860,223,68,19,-45
570,-1869,855,206,102,44,-16
580,-1849,860,191,81,49,50
590,-1859,873,215,-26,14,33
600,-1862,877,222,-54,41,18
610,-1860,847,227,-48,1,-41
620,-1836,868,225,-33,8,30
630,-1852,844,241,12,46,13
640,-1859,868,255,111,22,23
650,-1851,860,226,51,34,38
660,-1859,860,215,95,47,19
670,-1836,854,217,19,29,26
680,-1842,827,211,-30,11,6
690,-1871,833,225,-36,-28,56
700,-1869,855,247,-74,-14,-40
710,-1852,850,233,-26,18,13
720,-1836,868,243,83,57,11
730,-1846,844,223,132,54,21
740,-1856,877,220,48,38,15
750,-1841,872,209,0,6,1
760,-1813,862,194,-81,-3,5
770,-1840,854,229,15,25,-74
780,-1880,859,224,-11,31,-41
790,-1834,848,219,64,5,2
800,-1864,836,211,68,46,-45
810,-1843,869,239,55,14,-6
820,-1843,857,235,19,42,5
830,-1860,858,192,7,13,0
840,-1843,868,210,-20,33,5
850,-1837,857,231,21,3,37
860,-1858,843,225,-29,37,-10
870,-1858,866,219,46,34,9
880,-1840,847,217,50,94,-22
890,-1845,846,204,42,53,2
900,-1852,858,205,62,10,19
910,-1870,853,210,-8,16,73
920,-1843,860,237,7,18,-56
930,-1851,874,224,-56,12,-38
940,-1849,853,236,-15,38,-54
950,-1852,845,238,6,-17,-34
960,-1860,847,223,48,-4,-17
970,-1830,849,232,64,14,2
980,-1842,886,236,27,36,-18
990,-1834,871,215,20,26,30
