timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-1794,859,404,-118,2,-40
10,-1815,865,394,-2,71,27
20,-1805,856,398,116,71,-2
30,-1823,868,337,164,-4,-2
40,-1824,901,328,94,39,-49
50,-1809,887,350,79,48,43
60,-1824,879,358,42,18,35
70,-1935,937,304,274,-34,6
80,-1729,902,320,31,95,79
90,-1813,983,342,-24,43,0
100,-1822,837,405,60,14,-12
110,-1787,900,371,92,60,-32
120,-1841,890,350,187,75,46
130,-1827,893,347,93,26,19
140,-1840,894,332,-74,39,-30
150,-1823,895,361,24,-33,-15
160,-1811,881,367,-68,40,-67
170,-1793,897,379,52,28,-86
180,-1816,861,367,103,62,-46
190,-1828,855,353,113,50,25
200,-1821,908,336,142,-1,14
210,-1814,895,351,71,44,-13
220,-1813,885,354,29,-20,-54
230,-1810,904,358,-31,53,-84
240,-1808,853,333,-22,46,-3
250,-1818,841,352,1,-10,-4
260,-1835,868,348,42,41,-43
270,-1819,861,340,112,35,67
280,-1815,866,334,141,31,-24
290,-1832,881,330,95,69,-25
300,-1833,869,312,43,27,12
310,-1834,864,331,4,31,43
320,-1834,877,341,-29,31,-31
330,-1858,870,337,-29,21,-22
340,-1787,850,348,66,55,35
350,-1826,883,340,80,26,47
360,-1802,862,352,56,26,8
370,-1815,890,330,56,1,-36
380,-1805,886,350,44,25,-47
390,-1836,892,351,16,53,-38
400,-1836,862,355,14,49,-9
410,-1829,849,336,25,84,-17
420,-1808,876,333,79,46,-12
430,-1834,888,333,110,54,-36
440,-1805,869,324,65,92,-8
450,-1836,854,305,35,50,8
460,-1835,895,336,2,32,21
470,-1844,868,347,11,23,-3
480,-1811,876,338,49,8,33
490,-1816,847,320,48,27,-11
500,-1816,870,317,67,22,24
510,-1834,885,333,82,25,32
520,-1829,883,337,55,-12,0
530,-1821,878,326,58,13,-49
540,-1838,875,325,8,45,11
550,-1826,878,335,39,-4,-56
560,-1851,907,320,40,18,9
570,-1827,871,352,21,21,-15
580,-1851,893,344,79,31,47
590,-1818,875,299,61,34,-19
600,-1814,871,322,36,24,-62
610,-1840,895,313,54,63,52
620,-1827,887,314,48,18,1
630,-1833,882,319,15,-7,11
640,-1837,873,310,40,63,-14
650,-1858,880,302,38,47,10
660,-1825,888,330,66,38,-28
670,-1847,887,305,96,29,26
680,-1840,892,330,53,30,-12
690,-1842,885,335,16,38,29
700,-1828,893,316,34,9,-26
710,-1836,879,319,19,19,-11
720,-1846,893,338,37,27,-35
730,-1848,887,301,20,39,-32
740,-1823,870,340,33,11,12
750,-1832,895,320,62,25,-4
760,-1841,865,306,40,38,65
770,-1822,874,327,33,-13,-17
780,-1826,890,324,40,42,-19
790,-1826,863,325,49,31,-62
800,-1828,886,339,42,24,15
810,-1821,863,323,36,45,-31
820,-1846,862,302,29,29,50
830,-1836,879,313,17,30,25
840,-1831,877,315,55,17,24
850,-1817,879,318,44,30,-37
860,-1845,888,287,61,8,20
870,-1852,893,306,20,37,3
880,-1834,860,280,37,36,61
890,-1831,889,325,35,36,37
900,-1830,893,295,33,0,-52
910,-1847,859,325,98,14,24
920,-1817,879,290,31,72,13
930,-1842,869,323,14,34,-11
940,-1854,883,329,11,55,-36
950,-1821,883,315,39,5,-56
960,-1812,885,319,55,42,-67
970,-1832,865,299,71,21,-6
980,-1819,862,288,43,-5,-30
990,-1834,884,303,48,45,32
