timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-1631,2388,-2817,-3076,-1201,-709
10,-1937,3244,-3070,-3164,-875,1614
20,-1647,3044,-2123,-3440,-690,2397
30,-1471,2285,-1604,-3616,-842,3143
40,-1114,1864,-899,-3637,-1807,3954
50,-718,1410,-887,-4414,-2642,4137
60,-667,1641,-1033,-5342,-3497,4512
70,-624,1354,-1365,-5859,-4013,4488
80,-545,1057,-1940,-4858,-4524,4098
90,-573,1597,-2994,-3655,-3517,3978
100,-616,1374,-3435,-2167,-1350,3914
110,-565,1842,-2555,-526,649,3642
120,-1,1462,-1558,608,1481,3465
130,611,237,-957,-382,1383,3294
140,1352,-858,-711,-2885,-146,2384
150,1796,-1570,-1607,-5256,-962,785
160,1301,-413,-1993,-6742,-1407,174
170,578,-636,-1561,-7308,-52,-1956
180,83,-473,-622,-6425,1451,-3739
190,-306,-187,-285,-735,2128,-6384
200,-642,647,236,-6757,1536,-5709
210,-1434,103,-556,-3020,3410,-6585
220,-1910,2223,1305,-7004,4324,-7340
230,-3000,1913,540,-1679,3821,-8721
240,-13332,32767,32197,-23914,-17090,9436
250,-2405,3886,625,-1142,-6166,651
260,-2492,2442,1120,1584,1047,-3652
270,-3909,-207,-250,-2279,12971,8051
280,-2135,3230,9232,8017,-2434,-966
290,-2876,3214,-1057,-251,-5027,3767
300,-1726,2029,2057,7,-2509,4485
310,-1300,975,216,679,-3496,4477
320,-471,320,1014,323,-2868,4779
330,8,-230,456,1417,-4226,4098
340,287,99,-506,974,-3336,3930
350,522,334,-676,2407,-2642,4050
360,758,-617,-1000,1644,-2356,2215
370,931,-196,-1658,325,-1028,-289
380,921,297,-1229,-45,67,-888
390,849,156,-1239,-344,634,-1735
400,590,8,-1040,-526,1800,-2726
410,303,-319,-405,355,2353,-4124
420,-288,-203,-689,157,2598,-5500
430,-1099,-172,-732,-953,3084,-7202
440,-2108,1735,-760,-3662,5083,-9531
450,-4074,3291,295,-3213,5907,-11503
460,-6174,5379,1808,-551,4111,-10727
470,-6942,6829,2980,-3497,2446,-3842
480,-5606,6199,2704,-2453,68,4469
490,-4348,2117,1789,-746,-53,6517
500,-2842,1449,2506,1649,-965,7607
510,-1639,77,2041,3244,-2294,8616
520,-797,240,1684,4309,-3541,10136
530,-342,-799,975,4020,-4663,11533
540,302,-2191,-81,2872,-5936,7960
550,1021,-2280,-2576,1545,-4734,2173
560,1271,270,-3285,757,-700,-86
570,1202,-227,-1816,557,854,-1199
580,883,197,-1165,843,1443,-2244
590,396,538,-999,1388,1321,-3333
600,-43,817,-1154,1395,2116,-4122
610,-514,972,-607,278,2102,-4695
620,-1154,785,-598,-648,2542,-5080
630,-2030,2854,406,-2112,1571,-8352
640,-2494,3046,407,122,696,-9102
650,-3129,5236,888,-1154,-450,-5925
660,-2969,4928,39,-450,-1115,-206
670,-2379,3021,-211,-810,-504,415
680,-1936,2434,-265,-603,-521,963
690,-1549,2110,-165,-1042,-206,1268
700,-1130,1679,-27,-2114,-445,1351
710,-917,1488,-87,-2240,-400,1211
720,-794,1284,-56,-2214,-147,1149
730,-687,1202,241,-2211,-235,736
740,-704,1205,235,-2107,-362,387
750,-742,1319,222,-1599,-300,5
760,-836,1507,222,-981,-240,-326
770,-867,1607,266,-883,-262,-485
780,-938,1748,178,-962,-273,-599
790,-1032,1846,243,-1319,-215,-643
800,-1086,2150,265,-1718,-179,-567
810,-1025,1883,328,-2010,-89,-391
820,-949,1832,324,-2111,-12,-256
830,-872,1615,386,-2536,95,-214
840,-915,1634,460,-2711,174,-334
850,-959,1479,571,-2848,253,-383
860,-992,1594,763,-3468,252,-262
870,-1013,1393,815,-2426,284,-361
880,-997,1190,856,-2973,415,-377
890,-1099,1145,894,-3166,360,-533
900,-1171,1116,915,-3625,591,-573
910,-1264,1055,1029,-4128,706,-566
920,-1370,1035,1388,-2837,793,-683
930,-1435,971,1271,-1907,823,-789
940,-1413,1061,1446,-1753,722,-674
950,-1394,1068,1307,-2458,576,-394
960,-1402,967,1375,-2902,287,-81
970,-1422,708,1145,-1838,842,-485
980,-1381,721,1449,-2299,625,-321
990,-1432,548,1371,-3376,487,-151
