timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-758,780,1902,-136,126,-8
10,-745,758,1816,56,5,38
20,-768,726,1824,81,69,7
30,-725,760,1832,-53,-41,35
40,-721,724,1762,21,37,54
50,-691,731,1768,24,-19,-37
60,-688,772,1746,35,23,5
70,-734,712,1819,32,16,0
80,-687,794,1762,-15,39,-15
90,-686,715,1773,-80,36,34
100,-730,731,1731,24,82,-48
110,-700,731,1854,2,24,-41
120,-731,750,1771,8,-11,-16
130,-748,738,1841,6,29,11
140,-706,725,1758,0,-40,37
150,-715,745,1785,-2,-47,39
160,-656,757,1736,39,-6,49
170,-707,732,1751,9,46,0
180,-692,773,1796,9,79,16
190,-698,711,1810,8,12,26
200,-746,773,1854,32,78,-37
210,-738,759,1880,-13,-82,8
220,-708,719,1759,-13,-66,25
230,-681,675,1729,27,-8,45
240,-647,727,1702,49,52,-57
250,-633,760,1748,85,87,75
260,-699,767,1749,23,90,51
270,-719,726,1801,15,86,-5
280,-770,758,1858,10,75,-74
290,-761,801,1861,1,15,-27
300,-755,758,1828,36,-37,26
310,-678,699,1741,-12,-37,-9
320,-658,726,1687,24,22,-14
330,-673,764,1719,21,78,60
340,-698,726,1721,0,126,-63
350,-701,768,1768,-34,121,-41
360,-728,796,1768,-21,75,-57
370,-658,761,1564,-369,18,-36
380,-481,1026,1314,-589,328,-156
390,-451,992,1078,-748,593,322
400,-349,817,829,-2306,731,-73
410,-485,1094,943,-3626,1582,-306
420,-908,953,1374,-2830,2221,574
430,-1148,506,1888,-3330,2200,194
440,-1689,787,2224,-3385,2276,-56
450,-1962,1366,3321,-3146,1754,421
460,-1374,1076,2868,-7911,-894,2163
470,-1052,342,1756,-4898,-715,4391
480,-1122,1568,1560,-3041,458,2284
490,-1167,46,1936,-2093,219,4375
500,-1173,-1007,1805,-1311,85,3653
510,-1220,-1212,1455,-2051,676,2814
520,-1311,-847,1945,-1512,1049,2200
530,-1515,-392,2821,-982,454,2022
540,-1779,-635,3079,-223,-774,2960
550,-2002,-658,3179,1729,-1408,3704
560,-1806,-1214,2809,950,-2949,4543
570,-1527,-1722,2169,274,-3661,2762
580,-1404,-1153,1924,1986,-3750,2578
590,-1336,-1284,1895,2818,-3666,1761
600,-1129,-1401,1685,2215,-3883,971
610,-1020,-1406,1430,3303,-3650,-10
620,-970,-1489,1344,4139,-3347,-761
630,-814,-1333,1304,3837,-3333,-2043
640,-649,-631,994,4169,-3608,-3289
650,-556,-126,642,4764,-3269,-3977
660,-490,488,471,3957,-3053,-4090
670,-540,854,424,4364,-2713,-4131
680,-224,1051,53,4805,-1926,-4162
690,-149,1298,-53,4610,-1480,-4101
700,2,1545,-267,4334,-1098,-4303
710,52,1683,-501,3500,-945,-4751
720,-396,2265,-765,-378,497,-2538
730,-842,3674,-659,4000,1105,-4536
740,-1230,3801,172,1266,3018,-1986
750,-1097,2731,1458,-1826,1923,-690
760,-1051,1994,1262,-1664,763,-1578
770,-1058,1965,897,-2380,1196,-1087
780,-1394,2310,1771,-4922,1292,-1039
790,-1475,2570,2452,-5988,297,-40
800,-1228,1905,2221,-6689,-463,1365
810,-909,927,1797,-4108,-255,1290
820,-858,543,1772,-4403,-83,1156
830,-702,55,1854,-6073,-153,1064
840,-691,-146,1831,-5250,-111,646
850,-629,-13,1807,19,157,-126
860,-714,151,1995,-2393,-292,76
870,-798,116,1897,-1648,-115,257
880,-866,-129,1978,-681,-80,-128
890,-962,378,2080,-920,84,-209
900,-917,484,2295,-111,-130,192
910,-801,234,1951,28,-411,466
920,-715,42,1680,211,-170,232
930,-659,44,1656,198,-136,-141
940,-693,488,1650,185,110,-260
950,-708,535,1833,238,94,-81
960,-789,667,1866,54,104,-129
970,-814,708,2050,85,196,96
980,-814,450,2019,-55,-92,109
990,-769,451,1930,59,-21,47
