timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1708,412,714,311,-1315,-1153
10,1546,95,870,791,-1321,-550
20,936,-58,1055,1459,-2300,-1513
30,1428,255,1172,410,-1192,-2315
40,1714,1324,1440,22,-818,-777
50,1642,589,1195,-14,-853,414
60,2001,472,968,234,-688,55
70,1498,247,762,-168,-1109,229
80,1422,280,284,375,-428,80
90,1509,456,376,374,172,32
100,1411,618,481,810,645,450
110,1414,224,670,-77,918,735
120,1187,27,366,-1609,1610,123
130,1311,560,674,-1566,2689,-354
140,1382,607,994,-1528,2672,360
150,1068,102,698,-214,2974,157
160,915,-127,874,-1105,3697,-158
170,710,-317,787,-2159,3908,-1418
180,647,851,864,-2690,4731,-64
190,636,309,1008,-3532,4324,1256
200,489,-629,1619,-2843,5058,531
210,597,-843,2150,-1365,4456,442
220,543,-130,1801,-5838,4354,986
230,406,-673,1694,-3447,3736,1133
240,222,-261,1697,-2828,4001,1506
250,143,-650,1978,-2612,3935,1583
260,139,-1031,2696,-2055,3779,1351
270,-28,-1180,2775,-1938,3306,1033
280,-58,-1160,2918,-2375,2714,883
290,-541,-919,1820,-2951,2880,885
300,-301,-854,1856,-2490,2905,1116
310,-285,-729,1822,-1667,2634,1266
320,-337,-1046,2159,-1282,2480,1434
330,-402,-1446,2623,-869,2096,1397
340,-444,-1603,2719,-695,1484,1188
350,-595,-1609,2472,-878,1127,895
360,-730,-1157,1968,-1000,1058,857
370,-790,-826,1740,-921,1073,1025
380,-636,-1034,1809,-430,1146,1100
390,-747,-1216,1831,31,839,1534
400,-689,-1540,2055,439,829,1532
410,-724,-1793,2748,86,250,1019
420,-699,-1912,2864,163,-331,441
430,-648,-1747,2622,367,-952,76
440,-701,-1477,2291,543,-1570,-221
450,-670,-1318,1995,526,-1932,-230
460,-700,-1073,2259,714,-2171,-261
470,-471,-1425,2497,1061,-2701,-378
480,-300,-1721,2939,1491,-3633,-683
490,-379,-1749,3051,1588,-4785,-947
500,-549,-1484,2448,1854,-5374,-1190
510,-601,-1149,1798,1512,-5067,-1256
520,-393,-719,1724,746,-5078,-1106
530,-113,-513,1452,-93,-5036,-793
540,-23,-340,1431,41,-4917,-588
550,214,-544,1628,1057,-4152,-591
560,430,-760,1890,1903,-4051,-756
570,387,-1103,1871,1682,-4116,-870
580,354,-1155,1471,989,-4074,-1240
590,446,-1137,1196,873,-3704,-1811
600,564,-849,953,674,-3157,-2253
610,880,-30,1204,946,-2741,-2142
620,1144,391,1586,559,-3448,-1137
630,1064,62,932,856,-3575,-999
640,1139,-501,833,832,-3054,-885
650,1135,-36,739,-1324,-2668,-1057
660,1455,-15,962,-170,-2193,-651
670,1438,72,865,-89,-2233,-719
680,1795,172,1681,760,-2954,-1318
690,1625,-269,982,603,-3606,53
700,1270,-278,317,633,-2622,-238
710,1322,-326,25,38,-1784,-522
720,1563,-15,432,-290,-1119,-831
730,2008,-162,827,-209,-1420,-892
740,1606,-763,1135,923,-2889,-1739
750,1663,-622,886,-403,-1433,-2225
760,1668,-751,1147,-76,-1681,-2121
770,1575,-926,542,-21,-2038,-2471
780,3184,-1128,194,-1452,-1946,-2633
790,1055,417,363,360,-1428,-4696
800,1523,201,568,38,-1759,-3413
810,1038,255,-497,-454,-795,-3875
820,961,514,-488,-1228,55,-3917
830,1192,1157,-506,-2260,1329,-4032
840,1514,2341,219,-1628,2119,-3301
850,1345,2595,-34,-518,2094,-2059
860,1296,2362,-380,-1335,3328,-1098
870,1364,2050,403,-1573,3626,-286
880,1228,1786,-237,-865,4019,52
890,1012,2059,63,-1895,5010,517
900,1017,2108,394,-2492,4998,1682
910,834,1388,862,-3482,5021,2650
920,582,857,1217,-3435,5083,3233
930,878,501,2320,-4769,4992,3908
940,1101,-472,2838,-3474,3629,3618
950,853,-568,1945,-2750,3267,2786
960,480,-187,1476,-2687,3259,2801
970,454,43,955,-3335,3948,4394
980,299,-94,1116,-3734,5273,3555
990,136,128,1038,-3532,6497,4984
