timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-1204,755,2713,-211,583,-157
10,-1126,989,3008,-3,-633,577
20,-843,464,2091,-303,-862,871
30,-556,533,1813,-791,-505,483
40,-446,867,1607,-790,-244,654
50,-487,1151,1591,-998,77,1066
60,-611,1092,1644,-404,537,2366
70,-597,341,1280,-120,1302,2505
80,-813,-301,1376,1093,2701,2278
90,-1458,-486,2393,1049,2425,2898
100,-1830,-1546,2746,538,1043,1850
110,-1921,-1883,3168,-1527,-1476,516
120,-1582,-1313,2180,-529,-1707,-1230
130,-1493,-642,2128,199,-1689,-1036
140,-1239,-744,2223,1724,-2118,-924
150,-1250,-919,2022,3228,-2362,-1028
160,-1029,-850,1836,3017,-2679,-2200
170,-624,-158,1645,2357,-3240,-3423
180,-192,953,1076,1336,-3534,-3614
190,195,1607,631,2241,-2558,-3482
200,59,2283,550,3476,-1737,-3854
210,220,3267,922,1108,-711,-3648
220,147,3446,1169,-2523,-1440,-835
230,73,2666,182,-4130,-475,1366
240,-240,1739,246,-3723,2741,2588
250,-754,774,796,-4636,4600,3604
260,-1407,-250,2039,-1546,5779,3013
270,-1694,-746,3861,74,4129,2443
280,-1561,-1275,4065,-2118,452,1572
290,-1572,-1066,2540,-2329,-1336,691
300,-1402,-1154,1928,334,-402,744
310,-1232,-1634,2315,67,-826,-3
320,-1081,-1177,1874,59,-1137,-731
330,-882,-835,1637,1021,-786,-1012
340,-696,-593,1602,1110,-860,-1231
350,-386,-431,1293,1241,-545,-1929
360,-339,584,1487,999,-124,-2604
370,-284,1374,1551,980,-253,-1619
380,-277,1516,1421,383,304,-1225
390,-260,2089,1838,-187,831,-1231
400,-256,2284,1940,-1284,357,292
410,-471,1479,1595,-2146,696,1055
420,-651,931,1714,-2304,1280,1145
430,-907,474,2242,-1831,1179,1617
440,-1159,-289,2410,-2019,804,1863
450,-1175,-744,2424,-1897,347,1541
460,-1121,-892,2150,-1838,-151,1176
470,-1138,-947,2053,-644,-116,1092
480,-1106,-1061,2116,-136,-333,1150
490,-1012,-1208,2001,216,-591,855
500,-916,-1191,1840,341,-580,52
510,-976,-1031,1774,387,-286,-527
520,-1048,-1029,1876,881,-238,-649
530,-1075,-1002,1974,1828,-239,-1021
540,-976,-882,2013,1798,-451,-1341
550,-907,-472,1916,1847,-790,-1787
560,-754,-16,1694,1706,-697,-1885
570,-475,462,1614,2065,-815,-2011
580,-257,930,1500,1421,-714,-1953
590,-149,1294,1402,913,-424,-1639
600,-85,1477,1227,362,108,-821
610,-45,1455,1105,-299,831,-545
620,-88,1617,1320,-275,1487,-643
630,-216,1802,1658,-1702,1529,-300
640,-768,1932,1853,-3732,1498,744
650,-1020,1236,2192,-1740,1879,2399
660,-1282,-498,2260,-1744,1140,3938
670,-1560,-1742,1854,-1127,1388,2043
680,-1512,-1602,2428,-966,1724,-590
690,-1574,-321,2749,-1096,1364,-651
700,-1609,-219,3360,-494,-115,1124
710,-1476,-1008,2827,-846,-2053,1449
720,-1221,-1083,1888,-242,-2074,532
730,-956,-916,1529,545,-1766,376
740,-775,-994,1260,1025,-1764,338
750,-580,-1097,1078,898,-1015,-613
760,-477,-616,1188,827,-301,-1709
770,-396,-105,1399,888,-233,-1453
780,-570,112,1442,948,148,-1505
790,-580,829,1890,1142,694,-1832
800,-608,1057,2338,579,-231,-483
810,-643,730,1792,603,-510,277
820,-753,295,1897,676,193,-138
830,-791,388,2217,10,111,-245
840,-930,368,2410,-64,-293,80
850,-770,67,2103,-488,-734,128
860,-670,-52,1680,-309,-346,-85
870,-673,13,1900,55,-23,-180
880,-617,107,1969,-139,-236,-25
890,-608,29,1852,-93,-300,317
900,-606,-166,1735,43,-45,86
910,-626,-75,1943,183,187,32
920,-731,-161,2117,77,87,-46
930,-749,-213,2179,118,-8,-157
940,-656,-39,1988,-20,-100,-240
950,-619,-33,1923,9,-10,-188
960,-580,115,1993,39,9,-152
970,-560,110,1898,158,-15,48
980,-597,131,1842,199,204,-86
990,-656,33,2017,86,283,-126
