timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-809,370,1923,37,-7,-6
10,-743,326,1898,45,-52,56
20,-742,296,1811,-25,16,-42
30,-733,363,1798,-2,120,-7
40,-762,381,1875,49,75,5
50,-775,316,1871,-22,93,4
60,-798,375,1932,27,46,-3
70,-797,366,1966,-22,7,79
80,-799,313,1931,-37,-26,55
90,-820,328,1850,15,10,11
100,-738,367,1887,73,-20,49
110,-758,353,1836,37,-18,-21
120,-749,342,1826,47,39,24
130,-754,366,1841,-28,19,12
140,-773,416,1877,49,62,37
150,-809,347,1927,8,-14,51
160,-817,373,1922,11,8,68
170,-781,314,1909,-13,-49,44
180,-750,343,1841,21,9,45
190,-704,353,1882,6,-12,31
200,-701,273,1816,33,24,-9
210,-763,382,1861,67,68,13
220,-763,394,1928,26,16,61
230,-810,340,1917,88,58,5
240,-786,354,1951,-15,-38,-5
250,-774,334,1892,-25,-1,8
260,-765,364,1864,17,11,49
270,-747,324,1847,47,-17,61
280,-749,343,1856,37,40,28
290,-754,315,1859,-9,45,-42
300,-782,373,1919,34,86,-71
310,-785,385,2020,14,-51,45
320,-785,403,1895,8,-38,2
330,-763,387,1886,31,-63,46
340,-718,347,1814,7,-7,-19
350,-719,340,1788,23,23,40
360,-722,329,1837,-3,91,18
370,-771,348,1928,38,153,-40
380,-848,344,2023,-44,88,-40
390,-803,400,1946,44,-10,19
400,-780,321,1903,3,-87,57
410,-732,296,1791,72,-2,-1
420,-710,302,1826,32,71,-46
430,-737,359,1859,30,55,-73
440,-754,376,1908,71,125,-34
450,-744,357,1889,-11,92,-120
460,-768,415,1905,-70,105,-59
470,-840,589,1925,-113,101,-41
480,-764,736,1867,-402,-92,145
490,-617,964,1565,-1473,-337,193
500,-418,1378,1199,-2061,-217,977
510,-19,924,844,-2742,-369,1233
520,-573,1406,395,-4917,918,709
530,-1274,1926,1611,-4113,2090,2079
540,-1626,2012,2406,-5548,817,3304
550,-2270,2420,2681,-4892,-481,4878
560,-2905,1496,2372,-1329,-1064,8283
570,-3199,-857,1549,-136,-392,10901
580,-2494,-3584,1209,2486,1372,10944
590,-2861,-6241,1933,3315,3368,6716
600,-2139,-5711,4239,-178,4191,-3544
610,-2028,-787,6267,-1032,-2749,-5169
620,-1781,-952,2066,1006,-5706,-1391
630,-1480,-2569,219,1342,-2711,-2877
640,-1463,-2108,1028,1584,-1871,-5530
650,-1387,-573,1196,2203,-2278,-6885
660,-1385,592,1150,2828,-2515,-7119
670,-1470,1466,1020,2969,-2489,-6750
680,-1168,2453,1124,6357,-1279,-5204
690,-704,3030,1141,11511,-1372,-3835
700,-359,2610,779,4911,-1474,-1188
710,-343,2164,486,1098,-554,-431
720,-531,1371,1353,1877,155,-423
730,-623,1199,1837,2000,110,-55
740,-561,860,1763,690,-303,21
750,-393,662,1494,-72,-568,-413
760,-341,1078,1146,116,-53,-386
770,-330,1065,1265,17,410,-141
780,-453,977,1545,-10,588,-70
790,-582,847,1873,-17,644,79
800,-635,749,1898,-39,337,212
810,-641,487,1758,-286,353,30
820,-729,748,2026,-107,334,-209
830,-724,764,1946,-123,111,-194
840,-720,1018,1869,-165,359,-284
850,-653,1075,2000,-192,205,18
860,-582,798,1841,-159,197,69
870,-528,733,1845,-61,170,45
880,-573,620,1802,-119,72,-54
890,-572,654,1727,-40,207,-337
900,-701,1004,1858,1,146,-279
910,-736,1063,1911,55,100,-25
920,-710,916,1802,-107,41,-71
930,-726,876,1831,-132,46,34
940,-663,758,1788,-161,31,85
950,-654,632,1728,-215,17,21
960,-616,677,1699,-251,36,-143
970,-617,710,1670,-137,72,-105
980,-675,791,1767,-69,191,-167
990,-701,912,1932,-74,105,-36
