timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,442,1007,1149,620,-1618,119
10,508,1230,828,310,-1547,-264
20,514,1526,602,461,-1149,-500
30,476,1630,646,1145,-399,-512
40,456,1713,798,1230,-496,-671
50,397,1864,728,439,-766,-821
60,343,2009,504,284,-741,-560
70,294,2043,265,-284,-735,-614
80,253,2066,-100,-1270,-556,-536
90,212,2274,-223,-835,-182,-494
100,136,2257,-409,-1574,105,-177
110,113,2135,-560,-2689,564,121
120,53,1966,-783,-4685,1094,424
130,-49,1621,-781,-5826,2576,525
140,-225,1446,-321,-6485,4753,421
150,-311,1551,486,-6483,6064,248
160,-411,1860,1661,-6891,6506,1294
170,-696,1512,2704,-6662,5320,3244
180,-667,355,3144,-6979,3015,4289
190,-633,-586,3016,-4903,1395,3495
200,-638,-1104,2595,-4175,1239,2767
210,-757,-1812,2772,-2510,1648,2902
220,-692,-3027,3411,-590,1392,1485
230,-591,-2853,4011,184,-34,-1162
240,-549,-1634,3300,579,-1391,-2220
250,-462,-797,2433,1883,-1183,-1855
260,-494,-1233,2175,3072,-954,-1685
270,-598,-1409,1912,5173,-542,-2847
280,-783,-549,2061,6654,-509,-4350
290,-819,877,2041,7828,-1480,-4615
300,-871,1639,1633,10300,-2112,-3316
310,-724,1841,1244,9753,-3075,-2709
320,-670,2571,405,7172,-4183,-2045
330,-649,2832,-655,6365,-3317,-645
340,-496,2608,-621,5235,-2192,702
350,-288,2507,-708,3059,-2946,1285
360,-345,2037,-1895,-356,-1318,-1047
370,-267,2580,-1805,-121,355,55
380,-264,2553,-1505,-860,534,187
390,-366,2624,-1794,-2074,1297,527
400,-489,2749,-1622,-5836,2455,1492
410,-569,2553,-632,-9507,3688,2934
420,-591,1822,568,-10879,3789,3739
430,-613,1006,1586,-11575,3781,4175
440,-641,409,2404,-10763,3136,4646
450,-790,-372,2761,-8074,2196,4756
460,-795,-1311,2988,-4931,1647,4896
470,-762,-2399,3337,-2164,984,3627
480,-633,-2716,3638,-1233,296,1871
490,-549,-2602,3390,-848,-853,697
500,-450,-2358,2770,351,-961,-337
510,-378,-1847,2453,1179,-1099,-1220
520,-335,-1760,2032,1822,-920,-1592
530,-353,-1576,1974,2447,-789,-2598
540,-457,-800,2099,3404,-733,-3501
550,-530,-37,2073,4848,-617,-3923
560,-592,745,1809,6050,-757,-3989
570,-475,1420,1320,7023,-981,-3746
580,-454,1890,1051,8178,-1350,-3005
590,-406,2077,825,7288,-1845,-2361
600,-375,2275,483,6051,-1970,-1885
610,-413,2386,257,4005,-1788,-1327
620,-228,2466,75,2978,-1578,-612
630,-177,2260,-136,2267,-823,-177
640,-188,1647,-29,1098,465,-440
650,-132,2010,646,574,415,-205
660,-127,1882,714,-302,182,-198
670,-122,1958,777,-455,335,-68
680,-141,2024,895,-960,461,261
690,-182,1739,1138,-561,1027,746
700,-129,1391,1556,-954,801,351
710,-66,1518,1667,-977,58,207
720,-53,1490,1489,-887,18,-6
730,-37,1617,1523,-663,107,35
740,-103,1538,1488,-442,83,302
750,-67,1367,1489,-176,161,289
760,-39,1316,1538,-81,75,71
770,-56,1413,1464,-72,-53,-64
780,-98,1505,1388,61,-18,-68
790,-108,1542,1358,113,-43,-103
800,-140,1560,1335,154,-22,-107
810,-158,1639,1241,72,-57,-132
820,-176,1681,1254,135,91,-81
830,-191,1710,1279,39,80,-1
840,-174,1704,1212,-101,-22,30
850,-203,1613,1252,76,111,119
860,-146,1605,1338,-101,-26,84
870,-94,1526,1265,-269,-7,196
880,-149,1542,1228,-157,130,76
890,-132,1567,1469,8,265,55
900,-111,1546,1475,-225,-167,130
910,-80,1485,1220,-264,-165,54
920,-107,1481,1207,-42,121,87
930,-67,1625,1367,79,36,155
940,-16,1473,1269,-101,-24,211
950,-70,1326,1224,-42,209,196
960,-35,1320,1419,16,219,24
970,-29,1479,1344,-270,-179,-178
980,-128,1463,1183,-121,83,-170
990,-128,1622,1358,-14,145,-93
