timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-560,-15,1945,7,-81,108
10,-571,-35,1971,-62,-98,118
20,-643,1,1802,-72,136,-45
30,-621,32,2054,-98,107,64
40,-626,-28,2063,-14,81,44
50,-591,-80,2004,5,26,21
60,-568,-68,1943,-57,15,7
70,-550,33,1981,-27,53,-52
80,-538,12,2006,-37,19,-56
90,-524,22,1990,-46,28,-47
100,-552,29,1977,-8,-21,35
110,-548,20,2096,-29,54,-27
120,-588,33,2142,-64,23,-53
130,-592,41,2301,-42,-47,62
140,-478,-125,2276,-33,-131,14
150,-485,-113,2362,-95,-335,-63
160,-523,-112,2319,-119,-341,-27
170,-531,-71,2481,-121,-378,30
180,-563,-193,2489,-59,-444,46
190,-530,-286,2669,-42,-696,-86
200,-568,-288,2622,-95,-1156,-217
210,-437,-505,2669,49,-1165,-125
220,-389,-479,2493,113,-1816,-256
230,-339,-344,2207,153,-1790,-336
240,-297,-362,1971,221,-1933,-366
250,-211,-361,2047,390,-1876,-390
260,-290,-277,2097,714,-2107,-524
270,-308,-167,2007,638,-2205,-391
280,-242,-298,1718,623,-2252,-347
290,-180,-447,1408,784,-1897,-643
300,-157,-299,1501,975,-1709,-776
310,-162,-230,1539,977,-1694,-919
320,-179,-115,936,787,-1233,-1114
330,-98,121,1149,1022,-587,-872
340,-110,226,1125,810,-314,-1045
350,-23,206,1121,754,-64,-1037
360,-222,412,1103,721,478,-1037
370,6,853,1258,477,626,-1223
380,-56,1106,1168,280,1008,-932
390,-40,1369,1353,-116,1626,-1048
400,112,1401,1724,-479,1583,-418
410,-79,1374,2348,-574,1482,-90
420,-138,1267,2528,-733,1074,173
430,-135,1170,2742,-658,886,374
440,-187,1041,2686,-692,748,566
450,-145,901,2805,-792,309,733
460,-242,742,2811,-1111,111,939
470,-156,480,2806,-1282,-236,1055
480,-81,69,2863,-1249,-600,1229
490,47,-632,2543,-1127,-749,1039
500,88,-913,2339,-814,-671,717
510,111,-1000,2299,-490,-695,493
520,100,-1021,2092,-258,-715,213
530,129,-1141,1741,-195,-644,83
540,142,-1150,1847,94,-487,-217
550,98,-1042,1572,209,-321,-393
560,80,-821,1467,291,-127,-576
570,128,-583,1312,337,355,-748
580,113,-334,1552,402,386,-785
590,31,-131,1558,446,391,-785
600,-1,-78,1472,386,445,-835
610,-71,175,1622,607,797,-816
620,-194,401,1791,587,682,-728
630,-235,692,1892,524,850,-701
640,-251,920,2052,401,827,-403
650,-251,896,1995,188,732,-275
660,-272,862,2112,24,768,-136
670,-222,963,2309,-3,650,-12
680,-202,964,2245,-135,609,206
690,-291,886,2181,-256,326,313
700,-275,875,2049,-249,701,453
710,-259,684,2216,-239,712,560
720,-252,478,2284,-294,498,751
730,-160,183,2379,-246,269,624
740,-101,46,2281,-305,54,615
750,-116,8,2211,-244,-209,567
760,-72,-117,2156,-122,-333,678
770,-66,-251,2097,38,-370,626
780,-141,-366,1912,16,-57,426
790,-117,-327,1980,72,200,431
800,-148,-402,2255,-3,65,328
810,-177,-458,2135,47,134,296
820,-182,-403,2136,32,64,239
830,-196,-412,2221,4,102,133
840,-198,-282,2124,-87,0,50
850,-245,-226,2094,-118,-23,-1
860,-223,-146,2082,-33,102,-56
870,-208,-64,2096,121,56,22
880,-246,-50,2090,179,88,53
890,-196,-67,2068,167,156,44
900,-181,-20,2097,68,73,-48
910,-215,-23,2093,68,13,-33
920,-224,22,2171,60,-13,-4
930,-239,78,2094,66,-15,19
940,-253,68,2100,67,-31,75
950,-225,53,2128,10,-24,37
960,-222,65,1967,68,-12,35
970,-241,97,2155,44,-8,97
980,-228,56,2070,78,-39,50
990,-186,57,1987,-17,-35,22
