timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-5,-1099,1700,-7,53,99
10,-12,-1099,1782,7,9,60
20,-14,-1134,1762,48,-10,6
30,-37,-1041,1748,25,75,4
40,-23,-1045,1791,52,21,10
50,-32,-1035,1774,54,61,31
60,17,-1065,1815,106,71,77
70,-25,-1101,1745,16,47,67
80,1,-1131,1729,-78,68,44
90,-25,-1152,1808,-72,58,54
100,-21,-1110,1755,-54,135,51
110,-23,-984,1768,-50,240,86
120,-88,-679,1752,6,374,176
130,68,-599,1921,-115,392,529
140,4,-756,2063,-261,453,841
150,-58,-908,2156,-465,403,1132
160,2,-1330,2238,-559,212,1174
170,-37,-1916,2727,-503,-237,983
180,-23,-2347,2731,-368,-850,499
190,38,-2250,2273,-379,-1014,79
200,2,-2272,1914,-403,-1191,-378
210,-11,-2206,1826,-307,-1328,-493
220,-49,-1900,1629,19,-1229,-895
230,-116,-1706,1645,333,-1254,-1245
240,-1,-1607,1564,666,-1359,-1526
250,-69,-1408,1244,995,-1440,-1648
260,-142,-1241,567,1259,-1159,-1776
270,-71,-962,430,1541,-494,-1764
280,-16,-996,28,1523,-219,-1895
290,-97,-615,57,1358,726,-1932
300,-87,-225,830,1124,869,-1572
310,-80,-94,1151,854,1041,-1323
320,-18,63,1707,725,1164,-932
330,-58,290,2067,407,1054,-724
340,190,239,2296,81,1204,-708
350,89,1226,2489,-297,1069,-26
360,105,1386,3009,-915,779,706
370,209,889,3214,-1208,635,1312
380,190,283,3324,-1314,-56,1889
390,163,-624,3245,-1315,-754,2181
400,155,-1603,2995,-1180,-1339,1986
410,103,-2444,2083,-960,-1539,1587
420,80,-2933,1360,-519,-1256,982
430,151,-3142,1470,-42,-1037,292
440,27,-3297,779,350,-783,-554
450,51,-2739,986,879,-486,-1116
460,44,-2306,810,1416,-418,-1415
470,29,-2023,520,1682,-59,-1593
480,0,-1652,324,1612,259,-1870
490,-43,-1339,126,1076,761,-2117
500,-62,-611,720,364,1264,-2104
510,52,-61,1218,45,1181,-1845
520,4,485,1387,-183,1606,-1571
530,78,1127,2013,-243,1749,-982
540,33,1252,2178,-660,1616,-266
550,208,980,2419,-1142,1603,552
560,142,765,2621,-909,1496,-1553
570,122,427,2582,-1769,1497,1170
580,143,126,2766,-1596,988,1948
590,31,-226,2826,-1853,841,2713
600,9,-1178,3082,-1425,329,1764
610,-14,-1592,3096,-1207,-88,1510
620,5,-1495,2689,-1175,-655,1346
630,54,-1380,2242,-1110,-878,1324
640,100,-1266,2118,-1259,-1106,1183
650,46,-1360,1869,-880,-1265,1299
660,9,-1875,1621,-498,-1299,1219
670,-3,-2265,1628,-268,-1446,1012
680,-68,-2333,1337,-189,-1320,570
690,-302,-2226,1061,-132,-1440,295
700,-247,-2048,847,82,-411,-106
710,-207,-1955,932,229,-193,-367
720,-174,-1723,1294,535,-120,-547
730,-223,-1493,999,565,183,-578
740,-129,-1117,1368,514,315,-500
750,-113,-978,1330,316,478,-337
760,-86,-900,1545,136,259,-155
770,-57,-836,1675,1,290,-80
780,-51,-936,1704,-107,109,18
790,-14,-1062,1708,-93,128,30
800,31,-1082,1651,-128,128,69
810,62,-1155,1717,-75,64,72
820,28,-1141,1678,-102,83,55
830,30,-1185,1711,-66,47,89
840,67,-1203,1681,-11,102,10
850,54,-1211,1751,-15,86,5
860,43,-1250,1830,-15,58,-19
870,44,-1247,1876,38,33,-26
880,70,-1192,1806,59,12,-30
890,69,-1146,1685,49,2,-53
900,75,-1119,1749,60,45,-16
910,114,-1145,1710,-34,29,28
920,94,-1195,1733,-46,-11,-12
930,49,-1267,1743,-16,-13,72
940,52,-1278,1741,5,1,17
950,-8,-1266,1635,-28,-19,19
960,-2,-1237,1676,4,-8,-1
970,19,-1218,1653,-4,23,13
980,48,-1169,1687,24,-9,-14
990,32,-1171,1686,16,46,31
