timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-158,-1081,1648,100,-18,-19
10,-137,-1064,1641,136,125,-2
20,-148,-1073,1648,147,115,46
30,-158,-1037,1652,205,171,30
40,-138,-1102,1844,282,188,207
50,-126,-1195,1842,290,224,159
60,-108,-1295,1964,109,146,203
70,-141,-1297,2141,223,-132,148
80,-129,-1388,1944,131,-153,72
90,-109,-1359,2048,158,-147,27
100,-77,-1322,2083,5,-156,61
110,27,-1384,2151,-5,-282,123
120,29,-1513,2213,-2,-399,39
130,36,-1671,2251,49,-539,3
140,27,-1737,2119,55,-717,-104
150,21,-1799,2300,55,-1028,-132
160,10,-2044,2373,171,-1329,-373
170,-23,-1978,2125,469,-1424,-740
180,133,-1894,2259,995,-1792,-1094
190,-18,-1556,1629,1529,-1484,-1123
200,55,-1532,1618,1961,-1693,-1345
210,131,-1533,1536,2155,-1833,-1752
220,78,-1156,691,2256,-1648,-1904
230,49,-857,323,2165,-836,-1984
240,114,-698,213,1877,-192,-1968
250,25,-525,237,1643,582,-1919
260,37,-429,1053,1441,712,-1965
270,-79,-136,1156,1248,590,-1776
280,-185,23,890,1029,909,-1600
290,-321,556,1488,701,1115,-1410
300,-301,645,1602,593,1162,-875
310,-334,674,1925,679,1543,-682
320,-205,1013,2081,792,1278,-410
330,-150,1354,1933,539,1303,-67
340,-80,1473,2128,52,1211,493
350,-25,1302,2033,-680,1132,964
360,-12,1299,2494,-1043,1075,1339
370,-1,959,3208,-1162,412,1843
380,-42,233,3249,-1218,-199,2237
390,155,-597,3089,-1115,-409,2191
400,130,-1043,3236,-1013,-706,2027
410,144,-1545,2808,-944,-1086,1835
420,119,-1926,2596,-974,-1112,2141
430,82,-2476,1990,-587,-1107,1021
440,103,-2512,1794,-428,-769,146
450,53,-2412,1638,-233,-772,-44
460,-178,-2347,1206,-1,-829,-322
470,-57,-2262,1126,195,-485,-622
480,-85,-1977,1122,421,-47,-1145
490,-129,-1762,783,581,107,-1364
500,-43,-1299,893,521,457,-1644
510,-40,-982,1175,563,573,-1795
520,42,-662,1345,752,525,-1883
530,20,-363,1077,936,566,-2011
540,-101,305,1189,798,1072,-1844
550,-27,604,1596,685,1100,-1353
560,-8,602,1808,534,1235,-1055
570,18,641,1930,259,1444,-939
580,86,874,2364,-134,1139,-602
590,166,1009,2198,-265,1076,-1019
600,107,1213,2388,-780,930,-50
610,49,1199,2477,-1052,809,470
620,79,970,2718,-1321,702,825
630,63,684,2797,-1369,305,1085
640,65,283,2488,-1752,120,1572
650,245,-69,2985,-3066,-788,740
660,-3,-896,2431,-605,-139,1459
670,-56,-1475,2186,-1808,-379,523
680,25,-1514,2431,-1676,-576,1424
690,-54,-1880,2202,-1950,-714,834
700,-303,-1344,2948,-1938,-903,2536
710,-266,-1524,1777,-148,-1116,1155
720,-133,-1748,1478,-111,-910,645
730,-166,-1798,963,-265,-247,428
740,-110,-1459,1402,-555,31,227
750,-162,-1200,1357,-575,72,201
760,-127,-1138,1590,-269,70,340
770,-138,-1336,1471,-124,11,314
780,-110,-1395,1463,-135,118,235
790,-104,-1288,1637,-163,2,114
800,-103,-1205,1750,-133,7,48
810,-107,-1096,1698,-62,46,12
820,-120,-1112,1662,-73,116,-20
830,-85,-1059,1864,-65,41,41
840,-108,-1051,1758,2,167,-11
850,-89,-971,1990,-7,97,-33
860,-47,-974,1909,-22,36,21
870,-45,-984,1830,-88,39,0
880,-17,-1024,1911,-97,36,30
890,-40,-1054,1850,-80,-40,-18
900,-34,-1037,1827,7,-33,58
910,-28,-1078,1824,83,-10,-48
920,-55,-1097,1866,80,-41,-40
930,-25,-1066,1845,120,-100,-94
940,-27,-965,1763,78,-47,-78
950,-28,-947,1752,43,8,-10
960,-26,-967,1830,89,-77,-53
970,-19,-968,1736,67,-15,18
980,-30,-1014,1813,46,-41,15
990,-20,-1052,1847,35,-36,59
