timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-413,-643,2166,-142,1030,528
10,-509,-728,2439,365,469,-56
20,-375,-1127,2323,-1534,-1064,-2056
30,-356,-666,2045,-257,-616,-670
40,-236,-932,2160,-72,-239,-112
50,-304,-812,2173,-95,313,125
60,-363,-794,2178,-317,855,283
70,-454,-745,2130,-638,1572,375
80,-565,-667,2265,-805,2280,456
90,-135,-814,5184,-1099,-3821,758
100,-464,-832,3163,-548,-277,146
110,-419,-1069,2279,-330,-678,182
120,-339,-933,2565,-153,-1436,224
130,-390,-958,2706,-63,-1962,163
140,-327,-969,2549,-29,-2689,-67
150,-305,-1008,2238,317,-2451,18
160,-241,-935,1910,279,-3016,-49
170,-185,-866,2006,472,-3004,-241
180,-95,-940,1774,554,-3133,-444
190,-39,-1032,1627,593,-3159,-668
200,-58,-997,1409,793,-3094,-1051
210,-95,-1072,959,922,-2587,-1296
220,-61,-1241,840,1315,-1720,-1710
230,24,-1287,1214,1670,-1209,-2190
240,-58,-1006,986,1381,-1319,-2504
250,-165,-531,845,1611,-447,-2681
260,-89,-420,1190,1849,-173,-2610
270,-122,-267,800,2278,250,-2865
280,-162,229,943,2038,888,-2750
290,-21,516,1369,2168,914,-2760
300,-111,1074,1151,1879,882,-2574
310,-97,1429,864,1151,1174,-1932
320,-150,1781,1095,492,1852,-1448
330,-144,2175,1375,-364,2116,-668
340,-42,2194,1908,-711,1944,189
350,-42,1782,2238,-997,2012,753
360,-167,1646,2629,-1419,1682,1268
370,-224,1450,3071,-1767,1494,1820
380,-177,740,3451,-2057,1077,2356
390,47,-322,4100,-1988,113,2285
400,166,-1145,3656,-1866,-787,1919
410,158,-1545,3124,-1628,-1068,1462
420,339,-1873,2568,-1103,-1169,1062
430,435,-2223,2125,-527,-1060,275
440,452,-2107,1670,76,-819,-565
450,382,-1656,1725,433,-592,-1090
460,310,-1355,1663,602,-903,-1313
470,217,-1080,1234,823,-708,-1535
480,118,-629,1151,1014,-474,-1565
490,121,-379,1098,1204,-147,-1670
500,-9,-180,946,1266,368,-1693
510,11,254,1198,1400,885,-1632
520,-12,664,1546,1245,938,-1445
530,-40,870,1487,863,821,-1149
540,-127,1109,1656,467,975,-879
550,-203,1354,1803,57,928,-520
560,-249,1589,2059,-505,1133,-151
570,-197,1749,2127,-1049,1083,262
580,-168,1705,2272,-1374,911,847
590,-88,1714,2238,-1632,1046,1387
600,-185,1551,2588,-1574,403,4212
610,426,552,3134,-994,41,-1800
620,-141,-374,3100,-1429,-693,921
630,262,-854,2596,-2037,-816,3363
640,178,-1297,2326,-2664,-675,1826
650,219,-1113,1999,-1753,-410,1647
660,215,-1406,1982,-1964,-311,1789
670,179,-1135,1547,-884,-46,1799
680,179,-1215,1387,-827,164,1083
690,152,-1103,1736,-638,235,730
700,63,-1095,1680,-103,348,284
710,136,-1214,1803,440,286,299
720,93,-1097,1774,260,346,-140
730,-1,-822,1998,209,222,-212
740,-135,-363,1963,-313,240,433
750,-113,-372,2367,304,-115,-124
760,-165,-291,2161,287,53,-35
770,-87,-388,2133,244,1,24
780,-50,-457,1890,95,-19,6
790,-2,-517,1936,-38,179,37
800,53,-645,2017,-96,70,26
810,2,-708,2134,20,32,40
820,22,-581,2082,73,13,-99
830,9,-498,2049,128,-20,-137
840,16,-466,1997,74,-79,-71
850,-21,-351,1968,-1,76,-51
860,7,-344,2085,-99,-41,30
870,19,-411,2083,-20,-68,61
880,45,-436,2062,34,-94,23
890,21,-375,2051,47,-201,204
900,26,-519,2036,18,-150,175
910,82,-646,1915,134,-242,74
920,96,-512,1893,105,-44,-38
930,105,-486,1950,75,-99,-50
940,33,-516,1880,85,48,-69
950,47,-467,2029,145,74,-58
960,87,-459,2029,134,2,-27
970,-5,-448,1983,78,40,35
980,56,-513,2104,73,-23,45
990,65,-602,1908,22,-26,15
